code,title,year,ratings_avg,nations,genres
tEg84eR,원펀맨,2015,8.42673396698551,['일본'],"['코미디', '애니메이션', '액션']"
tRXNpDl,나츠메 우인장 1기,2008,8.417498442257727,['일본'],['애니메이션']
m5aVQDW,미녀는 괴로워,2006,6.927976402389249,['한국'],"['코미디', '드라마']"
mW9GGZd,최종병기 활,2011,7.115286295956191,['한국'],"['시대극', '액션', '전쟁']"
tlGmjZR,거침없이 하이킥,2006,8.539600674054027,['한국'],"['가족', '코미디', '시트콤', '드라마', 'TV드라마']"
m5x1Mex,소년시절의 너,2019,8.258308561236623,"['중국', '홍콩']","['범죄', '가족', '드라마', '로맨스']"
m5rboD5,마스터,2012,7.628145256848121,['미국'],['드라마']
mV53xjW,존 말코비치 되기,1999,7.714929151461354,['미국'],"['드라마', '코미디', '판타지']"
mWyJ9zN,이스케이프 룸,2019,7.0353071654794705,"['미국', '남아프리카 공화국']","['액션', '모험', '공포', '미스터리', '스릴러']"
mWyaxex,타오르는 여인의 초상,2019,8.036736142238158,['프랑스'],"['드라마', '로맨스']"
m6dRLLW,"색, 계",2007,7.311009650688699,"['미국', '중국', '대만']","['드라마', '역사', '로맨스', '스릴러', '전쟁']"
mWqJ94B,헤이트풀8,2015,7.713671453560842,['미국'],"['액션', '스릴러', '서부극', '범죄']"
mdRL9gW,친절한 금자씨,2005,7.4576288779775854,['한국'],"['드라마', '스릴러', '범죄']"
mdjlyzW,은밀하게 위대하게,2013,6.8672204700547725,['한국'],"['액션', '드라마', '코미디']"
mWvkVDZ,오베라는 남자,2015,7.695898701451319,['스웨덴'],"['코미디', '드라마', '로맨스']"
m5ZXrxO,아저씨,2010,7.875815634071083,['한국'],"['드라마', '액션', '범죄']"
mYdE4GO,라이언 일병 구하기,1998,8.325241400151507,['미국'],"['전쟁', '액션', '드라마']"
m5ZlbBL,시맨틱 에러: 더 무비,2022,8.390684011749896,['한국'],"['로맨스', 'BL']"
m533Z8p,탐정 : 더 비기닝,2015,6.966608564404808,['한국'],"['미스터리', '드라마', '코미디', '범죄', '스릴러']"
